"PR2S018692",2085,"2460 CORPORATION","Palm Beach","2460 S FEDERAL HWY","BOYNTON BEACH","FL","33435-7707",20,01/01/1964,"Approved","Incorporated","MA00006103","2460 CORPORATION INC","C/O GARY SMITH","2460 S FEDERAL HWY STE 5","BOYNTON BEACH","FL","33435"
"PR2S019014",2123,"2560 CORPORATION","Palm Beach","2560 S  FEDERAL HWY","BOYNTON BEACH","FL","33435-7737",20,11/09/1964,"Approved","Incorporated","MA00009497","2560 CORPORATION",,"2560 S  FEDERAL HIGHWAY","BOYNTON BEACH","FL","33435"
"PR2V008226",2222,"6767 N OCEAN BLVD","Palm Beach","6700 N OCEAN BLVD","OCEAN RIDGE","FL","334353315",14,01/01/1977,"Approved","Incorporated","MA00017373","6767 NORTH OCEAN BLVD INC",,"6767 N OCEAN BLVD","OCEAN RIDGE","FL","334353394"
"PR2499",2514,"76 ISLE OF VENICE INC","Broward","76 ISLE OF VENICE","FORT LAUDERDALE","FL","33301",9,01/04/2005,"Approved","Incorporated","MA66036","76 ISLE OF VENICE INC","C/O KENNETH G. STEVENS","412 NE 4TH STREET","FORT LAUDERDALE","FL","33301"
"PR2S017474",1950,"ADMIRALITY APTS THE","Dade","10150 COLLINS AVENUE","BAL HARBOUR","FL","331541615",36,11/02/1970,"Approved","Incorporated","MA00013292","ADMIRALTY APTS INC THE","ATTN: OFFICE","10150 COLLINS AVE","BAL HARBOUR","FL","33154"
"PR2S016940",1897,"ALAGON","Broward","3100 NE 28TH ST","FORT LAUDERDALE","FL","333087421",35,01/01/1959,"Approved","Incorporated","MA00008278","ALAGON INC",," PO BOX 122290","FORT LAUDERDALE","FL","33312"
"PR2V019665",2267,"ALAMEDA ISLES HOMEOWNERS COOP","Sarasota","1 ALAMEDA GRANDE","ENGLEWOOD","FL","342232101",355,03/23/1988,"Approved","Incorporated","MA00017532","ALAMEDA ISLES HOMEOWNERS COOP",,"1 ALAMEDA GRANDE","ENGLEWOOD","FL","342232101"
"PR2S016386",1832,"ALBERTA BEALE","Palm Beach","90 S.E. 5TH AVENUE","DELRAY BEACH","FL","334835302",9,02/06/1957,"Approved","Incorporated","MA00003311","ALBERTA-BEALE INC","C/O JMA COMMUNITY MGMT","1375 GATEWAY BLVD","BOYNTON BEACH","FL","33426"
"PR2V019717",2268,"ALCOVE MOBILE HOME PARK","Pinellas","1600 OLD COACHMAN ROAD NORTH","CLEARWATER","FL","346251621",98,03/23/1984,"Approved","Incorporated","MA00017760","ALCOVE MOBILE HOME OWNERS' ASSN INC","C/O RESOURCE PROPERTY MANAGEMENT","7300 PARK STREET","SEMINOLE","FL","33777"
"PR2S015856",1779,"ALEXANDER HAMILTON","Broward","2808 N.E. 33RD COURT","FORT LAUDERDALE","FL","333062035",20,02/24/1960,"Approved","Incorporated","MA00014149","ALEXANDER HAMILTON CORP",,"2808 NE 33 CT","FORT LAUDERDALE","FL","33306"
